Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/a_Phones""))",Chrome 111.0.0.0,,,2023-03-15 15:06:30,2023-03-15 15:06:34,4.100s,PASSED
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/a_Samsung galaxy s6""))",Chrome 111.0.0.0,,,2023-03-15 15:06:34,2023-03-15 15:06:37,2.860s,PASSED
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/a_Add to cart""))",Chrome 111.0.0.0,,,2023-03-15 15:06:37,2023-03-15 15:06:39,2.043s,PASSED
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/a_Cart""))",Chrome 111.0.0.0,,,2023-03-15 15:06:39,2023-03-15 15:06:42,2.843s,PASSED
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/button_Place Order""))",Chrome 111.0.0.0,,,2023-03-15 15:06:42,2023-03-15 15:06:45,2.795s,PASSED
"setText(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/input_Name_name""), ""BUY01"")",Chrome 111.0.0.0,,,2023-03-15 15:06:45,2023-03-15 15:06:46,1.282s,PASSED
"setText(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/input_Country_country""), ""Indonesia"")",Chrome 111.0.0.0,,,2023-03-15 15:06:46,2023-03-15 15:06:47,1.243s,PASSED
"setText(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/input_City_city""), ""Pontianak"")",Chrome 111.0.0.0,,,2023-03-15 15:06:47,2023-03-15 15:06:49,2.157s,PASSED
"setText(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/input_Credit card_card""), ""1234567890"")",Chrome 111.0.0.0,,,2023-03-15 15:06:49,2023-03-15 15:06:51,1.359s,PASSED
"setText(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/input_Month_month""), ""March"")",Chrome 111.0.0.0,,,2023-03-15 15:06:51,2023-03-15 15:06:52,1.367s,PASSED
"setText(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/input_Year_year""), ""2023"")",Chrome 111.0.0.0,,,2023-03-15 15:06:52,2023-03-15 15:06:53,1.089s,PASSED
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/button_Purchase""))",Chrome 111.0.0.0,,,2023-03-15 15:06:53,2023-03-15 15:06:54,1.031s,PASSED
"click(findTestObject(""Object Repository/S05-Buy item/BUY01-Buy phone/Page_STORE/button_OK""))",Chrome 111.0.0.0,,,2023-03-15 15:06:54,2023-03-15 15:06:59,4.417s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-15 15:06:59,2023-03-15 15:07:01,1.917s,PASSED
